,date,e4,e5,e6,e7
491,Nov-10,2,1,0,0
492,Dec-10,4,1,0,0
493,Jan-11,1,0,0,0
494,Feb-11,3,0,0,0
495,Mar-11,1,0,0,0
496,Apr-11,4,1,0,0
497,May-11,4,0,0,0
498,Jun-11,4,0,0,0
499,Jul-11,1,0,0,0
500,Aug-11,4,1,0,0
501,Sep-11,1,0,0,0
502,Oct-11,2,1,0,0
503,Nov-11,2,0,0,0
504,Dec-11,6,0,0,0
505,Jan-12,0,0,0,0
506,Feb-12,1,1,0,0
507,Mar-12,3,0,0,0
508,Apr-12,2,0,0,0
509,May-12,4,0,0,0
510,Jun-12,2,1,0,0
511,Jul-12,4,0,0,0
512,Aug-12,6,1,1,0
513,Sep-12,7,2,0,0
514,Oct-12,2,0,0,0
515,Nov-12,7,0,0,0
516,Dec-12,3,0,0,0
517,Jan-13,4,2,0,0
518,Feb-13,11,1,0,0
519,Mar-13,3,1,0,0
520,Apr-13,32,5,1,1
521,May-13,8,2,0,0
522,Jun-13,1,0,0,0
523,Jul-13,1,0,0,0
524,Aug-13,18,5,1,0
525,Sep-13,4,0,0,0
526,Oct-13,3,0,0,0
527,Nov-13,6,0,0,0
528,Dec-13,4,0,0,0
529,Jan-14,3,0,0,0
530,Feb-14,4,1,0,0
531,Mar-14,3,1,0,0
532,Apr-14,3,1,0,0
533,May-14,1,0,0,0
534,Jun-14,2,0,0,0
535,Jul-14,2,0,0,0
536,Aug-14,14,3,1,0
537,Sep-14,2,0,0,0
538,Oct-14,7,2,1,0
539,Nov-14,3,2,1,0
540,Dec-14,3,1,0,0
541,Jan-15,3,1,0,0
542,Feb-15,4,1,0,0
543,Mar-15,1,0,0,0
544,Apr-15,4,1,0,0
545,May-15,2,0,0,0
546,Jun-15,1,0,0,0
547,Jul-15,4,0,0,0
548,Aug-15,3,0,0,0
549,Sep-15,2,0,0,0
550,Oct-15,5,1,0,0
551,Nov-15,2,0,0,0
552,Dec-15,0,0,0,0
553,Jan-16,2,1,0,0
554,Feb-16,4,0,0,0
555,Mar-16,5,0,0,0
556,Apr-16,3,0,0,0
557,May-16,11,4,0,0
558,Jun-16,3,0,0,0
559,Jul-16,1,0,0,0
560,Aug-16,11,0,0,0
561,Sep-16,7,2,0,0
562,Oct-16,2,1,1,0
563,Nov-16,2,0,0,0
564,Dec-16,4,1,0,0
